repo,source_paper_title,doi,stratum,language,packaged,install_decay_outcome,reason
HUST-NingKang-Lab/Meta-Prism-2.0,"Meta-Prism 2.0: Enabling algorithm and web server for ultra-fast, memory-efficient, and accurate analysis among millions of microbial community samples.",10.1093/gigascience/giac073,genomics,python,no,N/A (not a package),no_install_manifest
HoseinT/BAMSE,BAMSE: Bayesian model selection for tumor phylogeny inference among multiple samples.,10.1186/s12859-019-2824-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
IARCbioinfo/PVAmpliconFinder,PVAmpliconFinder: a workflow for the identification of human papillomaviruses from high-throughput amplicon sequencing.,10.1186/s12859-020-03573-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
IGBB/keanu,Keanu: a novel visualization tool to explore biodiversity in metagenomes.,10.1186/s12859-019-2629-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ISUgenomics/SequelTools,SequelTools: a suite of tools for working with PacBio Sequel raw sequence data.,10.1186/s12859-020-03751-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ITBE-Lab/seed-evaluation,A performant bridge between fixed-size and variable-size seeding.,10.1186/s12859-020-03642-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
IrinaVKuznetsova/CirGO,CirGO: an alternative circular way of visualising gene ontology terms.,10.1186/s12859-019-2671-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
JiekaiLab/scDIOR,scDIOR: single cell RNA-seq data IO software.,10.1186/s12859-021-04528-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
JingXieMIZZOU/BLMRM,Modeling allele-specific expression at the gene and SNP levels simultaneously by a Bayesian logistic mixed regression model.,10.1186/s12859-019-3141-6,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
JupitersMight/DI2,DI2: prior-free and multi-item discretization of biological data and its applications.,10.1186/s12859-021-04329-8,bioinformatics-methods,python,yes,installs,example_exit_1
KHP-Informatics/DNAscan,"DNAscan: personal computer compatible NGS analysis, annotation and visualisation.",10.1186/s12859-019-2791-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
KanduriC/simAIRR,simAIRR: simulation of adaptive immune repertoires with realistic receptor sequence sharing for benchmarking of immune state prediction methods.,10.1093/gigascience/giad074,genomics,python,yes,installs,imports_only
KlinkeLab/ImmClass2019,An elastic-net logistic regression approach to generate classifiers and gene signatures for types of immune cells and T helper cell subsets.,10.1186/s12859-019-2994-z,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
KoenigLabNM/MIPRIP,Modelling TERT regulation across 19 different cancer types based on the MIPRIP 2.0 gene regulatory network approach.,10.1186/s12859-019-3323-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
LBBSoft/FeatureSelect,FeatureSelect: a software for feature selection based on machine learning approaches.,10.1186/s12859-019-2754-0,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
Lcornet/GENERA,The GEN-ERA toolbox: unified and reproducible workflows for research in microbial genomics.,10.1093/gigascience/giad022,genomics,python,no,N/A (not a package),no_install_manifest
LinHuiyi/SIPI,SNPxE: SNP-environment interaction pattern identifier.,10.1186/s12859-021-04326-x,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
LupienLab/SMURF,SMuRF: a novel tool to identify regulatory elements enriched for somatic point mutations.,10.1186/s12859-018-2501-y,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
Lyn-666/anti_CRISPR,PreAcrs: a machine learning framework for identifying anti-CRISPR proteins.,10.1186/s12859-022-04986-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
MSeidelFed/COSNet_i,COSNet i : ComplexOme-Structural Network Interpreter used to study spatial enrichment in metazoan ribosomes.,10.1186/s12859-021-04510-z,bioinformatics-methods,python,yes,inconclusive (timeout/error),"command failed (exit 124): ['/usr/local/bin/docker', 'run', '-d', '--platform', "
MW55/Natrix,"Natrix: a Snakemake-based workflow for processing, clustering, and taxonomically assigning amplicon sequencing reads.",10.1186/s12859-020-03852-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
MaHaoran627/CNN_Virus,A multi-task CNN learning model for taxonomic assignment of human viruses.,10.1186/s12859-021-04084-w,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
MathOnco/NeoPredPipe,NeoPredPipe: high-throughput neoantigen prediction and recognition potential pipeline.,10.1186/s12859-019-2876-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
MolecularAI/aizynthfinder,"AiZynthFinder: a fast, robust and flexible open-source software for retrosynthetic planning.",10.1186/s13321-020-00472-1,cheminformatics,python,yes,install-decay (fails),pip_install_failed
MoreiraLAB/DrugTax,DrugTax: package for drug taxonomy identification and explainable feature extraction.,10.1186/s13321-022-00649-w,cheminformatics,python,yes,install-decay (fails),pip_install_failed
NBISweden/GenErode,GenErode: a bioinformatics pipeline to investigate genome erosion in endangered and extinct species.,10.1186/s12859-022-04757-0,bioinformatics-methods,python,yes,installs,example_exit_1
NWPU-903PR/PDGPCS,Prioritization of cancer driver gene with prize-collecting steiner tree by introducing an edge weighted strategy in the personalized gene interaction network.,10.1186/s12859-022-04802-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
NuttyLogic/BSBolt,BiSulfite Bolt: A bisulfite sequencing analysis platform.,10.1093/gigascience/giab033,genomics,python,yes,installs,example_exit_1
OSS-Lab/ChemChaste,ChemChaste: Simulating spatially inhomogeneous biochemical reaction-diffusion systems for modeling cell-environment feedbacks.,10.1093/gigascience/giac051,genomics,python,no,N/A (not a package),no_install_manifest
OluwadareLab/EnsembleSplice,EnsembleSplice: ensemble deep learning model for splice site prediction.,10.1186/s12859-022-04971-w,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
OpenGene/MutScan,MutScan: fast detection and visualization of target mutations by scanning FASTQ data.,10.1186/s12859-018-2024-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
PGB-LIV/VAPPER,VAPPER: High-throughput variant antigen profiling in African trypanosomes of livestock.,10.1093/gigascience/giz091,genomics,python,yes,installs,example_exit_1
PapenfussLab/bionix,"Unifying package managers, workflow engines, and containers: Computational reproducibility with BioNix.",10.1093/gigascience/giaa121,genomics,python,no,N/A (not a package),no_install_manifest
PeeperLab/XenofilteR,XenofilteR: computational deconvolution of mouse and human reads in tumor xenograft sequence data.,10.1186/s12859-018-2353-5,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
RodolfoAllendes/cline,CLINE: a web-tool for the comparison of biological dendrogram structures.,10.1186/s12859-019-3149-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
Rostlab/LocNuclei,Detailed prediction of protein sub-nuclear localization.,10.1186/s12859-019-2790-9,bioinformatics-methods,python,yes,inconclusive (timeout/error),hard_cap
Sandalmoth/ratrack,Inferring time-dependent population growth rates in cell cultures undergoing adaptation.,10.1186/s12859-020-03887-7,bioinformatics-methods,python,yes,installs,example_exit_1
SchulzLab/Triangulate,Prediction of single-cell gene expression for transcription factor analysis.,10.1093/gigascience/giaa113,genomics,r,no,N/A (not a package),no_install_manifest
ShaokunAn/D-EE,D-EE: Distributed software for visualizing intrinsic structure of large-scale single-cell data.,10.1093/gigascience/giaa126,genomics,python,no,N/A (not a package),no_install_manifest
ShengquanChen/VPAC,VPAC: Variational projection for accurate clustering of single-cell transcriptomic data.,10.1186/s12859-019-2742-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ShihChingYu/CLIN_SKAT,CLIN_SKAT: an R package to conduct association analysis using functionally relevant variants.,10.1186/s12859-022-04987-2,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
ShihChingYu/TransAT,Transcript annotation tool (TransAT): an R package for retrieving annotations for transcript-specific genetic variants.,10.1186/s12859-021-04243-z,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
ShirleyWISiu/LigTMap,LigTMap: ligand and structure-based target identification and activity prediction for small molecular compounds.,10.1186/s13321-021-00523-1,cheminformatics,python,no,N/A (not a package),no_install_manifest
SoNishiyama/IP-SIMPAT,Integer programming for selecting set of informative markers in paternity inference.,10.1186/s12859-022-04801-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
SydneyBioX/scdney,scDC: single cell differential composition analysis.,10.1186/s12859-019-3211-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
TUS-Satolab/PROP,P*R*O*P: a web application to perform phylogenetic analysis considering the effect of gaps.,10.1186/s12859-021-03978-z,bioinformatics-methods,python,yes,inconclusive (timeout/error),"command failed (exit 125): ['/usr/local/bin/docker', 'run', '-d', '--platform', "
TrangDinh44/ABAG_BioBERT,Extract antibody and antigen names from biomedical literature.,10.1186/s12859-022-04993-4,bioinformatics-methods,python,yes,installs,example_exit_1
Transilico/MolData,"MolData, a molecular benchmark for disease and target based machine learning.",10.1186/s13321-022-00590-y,cheminformatics,python,no,N/A (not a package),no_install_manifest
UCDenver-ccp/Concept-Recognition-as-Translation,Concept recognition as a machine translation problem.,10.1186/s12859-021-04141-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
UnixJunkie/FASMIFRA,Molecular generation by Fast Assembly of (Deep)SMILES fragments.,10.1186/s13321-021-00566-4,cheminformatics,python,no,N/A (not a package),no_install_manifest
WangLabTHU/DeSP,DeSP: a systematic DNA storage error simulation pipeline.,10.1186/s12859-022-04723-w,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
Wen-YiYu/BEXCIS,BEXCIS: Bayesian methods for estimating the degree of the skewness of X chromosome inactivation.,10.1186/s12859-022-04721-y,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
YangLiuLab/Super-Resolution-Nuclei-Segmentation,Application of convolutional neural networks towards nuclei segmentation in localization-based super-resolution fluorescence microscopy images.,10.1186/s12859-021-04245-x,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
aLiehrmann/CROCS,Increased peak detection accuracy in over-dispersed ChIP-seq data with supervised segmentation models.,10.1186/s12859-021-04221-5,bioinformatics-methods,r,yes,installs,imports_only
abikoushi/Bermuda,A latent allocation model for the analysis of microbial composition and disease.,10.1186/s12859-018-2530-6,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
abikoushi/lambda,Model-based clustering for flow and mass cytometry data with clinical information.,10.1186/s12859-020-03671-7,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
abs-tudelft/variant-calling-at-scale,VC@Scale: Scalable and high-performance variant calling on cluster environments.,10.1093/gigascience/giab057,genomics,python,no,N/A (not a package),no_install_manifest
abyzovlab/CNVpytor,CNVpytor: a tool for copy number variation detection and analysis from read depth and allele imbalance in whole-genome sequencing.,10.1093/gigascience/giab074,genomics,python,yes,installs,example_exit_1
acg-team/ProPIP,Progressive multiple sequence alignment with indel evolution.,10.1186/s12859-018-2357-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
adelenelai/onglai-classify-homologues,An algorithm to classify homologous series within compound datasets.,10.1186/s13321-022-00663-y,cheminformatics,python,yes,installs,example_exit_1
ahsv/RankCorr,A rank-based marker selection method for high throughput scRNA-seq data.,10.1186/s12859-020-03641-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
alexcis95/PhenoExam,PhenoExam: gene set analyses through integration of different phenotype databases.,10.1186/s12859-022-05122-x,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
alexiaales/SpotitPy,SpotitPy: a semi-automated tool for object-based co-localization of fluorescent labels in microscopy images.,10.1186/s12859-022-04988-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
alexmascension/triku,Triku: a feature selection method based on nearest neighbors for single-cell data.,10.1093/gigascience/giac017,genomics,python,yes,installs,imports_only
andrea-tango/GenHap,GenHap: a novel computational method based on genetic algorithms for haplotype assembly.,10.1186/s12859-019-2691-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
anna-pa-m/adabmDCA,adabmDCA: adaptive Boltzmann machine learning for biological sequences.,10.1186/s12859-021-04441-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
anuprulez/galaxy_tool_recommendation,Tool recommender system in Galaxy using deep learning.,10.1093/gigascience/giaa152,genomics,python,yes,installs,imports_only
aomlomics/tourmaline,Tourmaline: A containerized workflow for rapid and iterable amplicon sequence analysis using QIIME 2 and Snakemake.,10.1093/gigascience/giac066,genomics,python,no,N/A (not a package),no_install_manifest
arnaudmgh/synergy-screen,Statistical assessment and visualization of synergies for large-scale sparse drug combination datasets.,10.1186/s12859-019-2642-7,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
asoltis/MutEnricher,MutEnricher: a flexible toolset for somatic mutation enrichment analysis of tumor whole genomes.,10.1186/s12859-020-03695-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
bcbi/SolrPlantAPI,Solr-Plant: efficient extraction of plant names from text.,10.1186/s12859-019-2874-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
betsig/how_are_we_stranded_here,how_are_we_stranded_here: quick determination of RNA-Seq strandedness.,10.1186/s12859-022-04572-7,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
bigchem/transformer-cnn,Transformer-CNN: Swiss knife for QSAR modeling and interpretation.,10.1186/s13321-020-00423-w,cheminformatics,python,no,N/A (not a package),no_install_manifest
bihealth/sodar-server,SODAR: managing multiomics study data and metadata.,10.1093/gigascience/giad052,genomics,python,yes,install-decay (fails),pip_requirements_failed
bionitio-team/bionitio,Bionitio: demonstrating and facilitating best practices for bioinformatics command-line software.,10.1093/gigascience/giz109,genomics,python,no,N/A (not a package),no_install_manifest
bioperl/p5-bpwrapper,BpWrapper: BioPerl-based sequence and tree utilities for rapid prototyping of bioinformatics pipelines.,10.1186/s12859-018-2074-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
bioxsjtu/VariFAST,VariFAST: a variant filter by automated scoring based on tagged-signatures.,10.1186/s12859-019-3226-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
bjornbredesen/MOCCA,MOCCA: a flexible suite for modelling DNA sequence motif occurrence combinatorics.,10.1186/s12859-021-04143-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
borenstein-lab/MetaLAFFA,"MetaLAFFA: a flexible, end-to-end, distributed computing-compatible metagenomic functional annotation pipeline.",10.1186/s12859-020-03815-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
broadinstitute/keras-rcnn,Keras R-CNN: library for cell detection in biological images using deep neural networks.,10.1186/s12859-020-03635-x,bioinformatics-methods,python,yes,installs,imports_only
camoragaq/BrumiR,BrumiR: A toolkit for de novo discovery of microRNAs from sRNA-seq data.,10.1093/gigascience/giac093,genomics,python,no,N/A (not a package),no_install_manifest
cfarkas/annotate_my_genomes,annotate_my_genomes: an easy-to-use pipeline to improve genome annotation and uncover neglected genes by hybrid RNA sequencing.,10.1093/gigascience/giac099,genomics,python,yes,install-decay (fails),conda_env_failed
changlabtw/hicmaptools,HiCmapTools: a tool to access HiC contact maps.,10.1186/s12859-022-04589-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
chemosim-lab/ProLIF,ProLIF: a library to encode molecular interactions as fingerprints.,10.1186/s13321-021-00548-6,cheminformatics,python,yes,installs,example_exit_1
chjiao/VirBin,A binning tool to reconstruct viral haplotypes from assembled contigs.,10.1186/s12859-019-3138-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
clicumu/doepipeline,doepipeline: a systematic approach to optimizing multi-level and multi-step data processing workflows.,10.1186/s12859-019-3091-z,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
cnickh/wgdtree,WGDTree: a phylogenetic software tool to examine conditional probabilities of retention following whole genome duplication events.,10.1186/s12859-022-05042-w,bioinformatics-methods,python,yes,installs,example_exit_1
constantino-garcia/cmmrt,Probabilistic metabolite annotation using retention time prediction and meta-learned projections.,10.1186/s13321-022-00613-8,cheminformatics,python,yes,install-decay (fails),pip_requirements_failed
crimBubble/ECCsplorer,ECCsplorer: a pipeline to detect extrachromosomal circular DNA (eccDNA) from next-generation sequencing data.,10.1186/s12859-021-04545-2,bioinformatics-methods,python,yes,install-decay (fails),conda_env_failed
ctlab/GADMA,GADMA: Genetic algorithm for inferring demographic history of multiple populations from allele frequency spectrum data.,10.1093/gigascience/giaa005,genomics,python,yes,install-decay (fails),pip_install_failed
developerpiru/BEAVR,BEAVR: a browser-based tool for the exploration and visualization of RNA-seq data.,10.1186/s12859-020-03549-8,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
devlaming/mgreml,Multivariate estimation of factor structures of complex traits using SNP-based genomic relationships.,10.1186/s12859-022-04835-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
dkoslicki/TAMPA,TAMPA: interpretable analysis and visualization of metagenomics-based taxon abundance profiles.,10.1093/gigascience/giad008,genomics,python,yes,install-decay (fails),pip_requirements_failed
dongxuemin666/RNA-combine,RNA-combine: a toolkit for comprehensive analyses on transcriptome data from different sequencing platforms.,10.1186/s12859-021-04549-y,bioinformatics-methods,python,yes,inconclusive (timeout/error),hard_cap
dpique/aneuvis,Aneuvis: web-based exploration of numerical chromosomal variation in single cells.,10.1186/s12859-019-2842-1,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
eMetaboHUB/Forum-LiteraturePropagation,Suggesting disease associations for overlooked metabolites using literature from metabolic neighbors.,10.1093/gigascience/giad065,genomics,python,no,N/A (not a package),no_install_manifest
ebundhoo/TAGOPSIN,TAGOPSIN: collating taxa-specific gene and protein functional and structural information.,10.1186/s12859-021-04429-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
emersON106/m6Acorr,m6Acorr: an online tool for the correction and comparison of m<sup>6</sup>A methylation profiles.,10.1186/s12859-020-3380-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ezer/NITPicker,NITPicker: selecting time points for follow-up experiments.,10.1186/s12859-019-2717-5,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
fadilla-wahyudi/finemav,Prioritising positively selected variants in whole-genome sequencing data using FineMAV.,10.1186/s12859-021-04506-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
fkallen/CARE,CARE 2.0: reducing false-positive sequencing error corrections using machine learning.,10.1186/s12859-022-04754-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
frankMusacchia/VarGenius,VarGenius executes cohort-level DNA-seq variant calling and annotation and allows to manage the resulting data through a PostgreSQL database.,10.1186/s12859-018-2532-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
fumi-github/omicwas,Nonlinear ridge regression improves cell-type-specific differential expression analysis.,10.1186/s12859-021-03982-3,bioinformatics-methods,r,yes,installs,imports_only
galadrielbriere/ClustOmics,Consensus clustering applied to multi-omics disease subtyping.,10.1186/s12859-021-04279-1,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
galaxyproject/dunovo,Family reunion via error correction: an efficient analysis of duplex sequencing data.,10.1186/s12859-020-3419-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
genomicsITER/NanoDJ,NanoDJ: a Dockerized Jupyter notebook for interactive Oxford Nanopore MinION sequence manipulation and genome assembly.,10.1186/s12859-019-2860-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
gerners/tamock,Tamock: simulation of habitat-specific benchmark data in metagenomics.,10.1186/s12859-021-04154-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
gkumar09/iSeqQC,iSeqQC: a tool for expression-based quality control in RNA sequencing.,10.1186/s12859-020-3399-8,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
gongx030/DrImpute,DrImpute: imputing dropout events in single cell RNA sequencing data.,10.1186/s12859-018-2226-y,bioinformatics-methods,r,yes,installs,imports_only
grisslab/scAnnotatR,scAnnotatR: framework to accurately classify cell types in single-cell RNA-sequencing data.,10.1186/s12859-022-04574-5,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
gymreklab/chips,A flexible ChIP-sequencing simulation toolkit.,10.1186/s12859-021-04097-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
gzampieri/Scuba,Scuba: scalable kernel-based gene prioritization.,10.1186/s12859-018-2025-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
haddocking/interface-classifier,Distinguishing crystallographic from biological interfaces in protein complexes: role of intermolecular contacts and energetics for classification.,10.1186/s12859-018-2414-9,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
harmancilab/SVAT,SVAT: Secure outsourcing of variant annotation and genotype aggregation.,10.1186/s12859-022-04959-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
harvardinformatics/NGmerge,NGmerge: merging paired-end reads via novel empirically-derived models of sequencing errors.,10.1186/s12859-018-2579-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
hasindu2008/f5c,GPU accelerated adaptive banded event alignment for rapid comparative nanopore signal analysis.,10.1186/s12859-020-03697-x,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
hedingqin/PRMeth,Deconvolution of tumor composition using partially available DNA methylation data.,10.1186/s12859-022-04893-7,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
hippo-yf/MUREN,MUREN: a robust and multi-reference approach of RNA-seq transcript normalization.,10.1186/s12859-021-04288-0,bioinformatics-methods,r,yes,installs,ran_ok
hitaandrea/MGcount,MGcount: a total RNA-seq quantification tool to address multi-mapping and multi-overlapping alignments ambiguity in non-coding transcripts.,10.1186/s12859-021-04544-3,bioinformatics-methods,r,yes,install-decay (fails),pip_requirements_failed
hsu-binfo/GRAde,GRAde: a long-read sequencing approach to efficiently identifying the CYP11B1/CYP11B2 chimeric form in patients with glucocorticoid-remediable aldosteronism.,10.1186/s12859-022-04561-w,bioinformatics-methods,python,yes,install-decay (fails),conda_env_failed
huynguyen250896/DrGA,DrGA: cancer driver gene analysis in a simpler manner.,10.1186/s12859-022-04606-0,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
ialbert/biostar-central,"Bioinformatics recipes: creating, executing and distributing reproducible data analysis workflows.",10.1186/s12859-020-03602-6,bioinformatics-methods,python,yes,installs,imports_only
